subjID,run,trial,phase,oriRef,oriJitt,oriFinal,oriRespInit,oriRespFinal,error,points,rt,outoftime,iti,oriRef2,oriFinal2,oriRespFinal2,oriFinal3,oriRespFinal3
2,1,12,7,2,-6,39,52,52,-13,74,0.815839311981108,,0.2,45,39,52,-6,7
2,1,13,5,3,-7,83,26,84,-1,98,2.06643792800605,,0.2,90,83,84,-7,-6
2,1,14,5,1,4,4,3,3,1,98,0.797085099999094,,0.2,0,4,3,4,3
2,1,15,2,4,5,140,28,147,-7,86,1.86078321698005,,0.2,135,140,147,5,12
2,1,16,10,1,-2,178,139,172,6,88,1.50069243001053,,0.2,0,-2,-8,-2,-8
2,1,17,6,2,-7,38,111,38,0,100,2.86460327298846,,0.2,45,38,38,-7,-7
2,1,18,1,2,-1,44,125,43,1,98,2.73189566898509,,0.2,45,44,43,-1,-2
2,1,19,3,3,-10,80,53,78,2,96,1.30015037901467,,0.2,90,80,78,-10,-12
2,1,20,3,2,-3,42,146,48,-6,88,2.58281456000987,,0.2,45,42,48,-3,3
2,1,21,2,1,3,3,45,2,1,98,1.76490336601273,,0.2,0,3,2,3,2
2,1,22,3,2,-1,44,133,32,12,76,1.88155400200048,,0.2,45,44,32,-1,-13
2,1,23,8,3,4,94,17,100,-6,88,2.83181286000763,,0.2,90,94,100,4,10
2,1,24,4,3,3,93,91,101,-8,84,0.98094982499606,,0.2,90,93,101,3,11
2,1,25,8,4,-4,131,1,134,-3,94,1.53498631200637,,0.2,135,131,134,-4,-1
2,1,26,4,1,7,7,0,10,-3,94,0.682263154012617,,0.2,0,7,10,7,10
2,1,27,1,4,1,136,26,143,-7,86,1.71554595598718,,0.2,135,136,143,1,8
2,1,28,6,4,-2,133,108,129,4,92,1.09864020301029,,0.2,135,133,129,-2,-6
2,1,29,7,3,-4,86,76,82,4,92,0.881327484006761,,0.2,90,86,82,-4,-8
2,1,30,10,2,-3,42,158,31,11,78,1.93142130199703,,0.2,45,42,31,-3,-14
2,1,31,9,4,7,142,82,132,10,80,1.41786386800231,,0.2,135,142,132,7,-3
2,1,32,6,4,5,140,153,143,-3,94,0.832537495007273,,0.2,135,140,143,5,8
2,1,33,6,1,1,1,111,0,1,98,2.53002933500102,,0.2,0,1,0,1,0
2,1,34,4,4,5,140,123,135,5,90,0.893216539989226,,0.2,135,140,135,5,0
2,1,35,2,3,-5,85,91,82,3,94,0.816336869000224,,0.2,90,85,82,-5,-8
2,1,36,2,1,-5,175,129,172,3,94,1.19770316799986,,0.2,0,-5,-8,-5,-8
2,1,37,9,2,-7,38,119,34,4,92,1.98188196698902,,0.2,45,38,34,-7,-11
2,1,38,9,2,8,53,131,54,-1,98,2.53178464598022,,0.2,45,53,54,8,9
